Year,Laps
1950,70.0
1950,100.0
1950,138.0
1950,42.0
1950,35.0
1950,64.0
1950,80.0
1951,42.0
1951,200.0
1951,36.0
1951,77.0
1951,65.0
1951,90.0
1951,20.0
1951,80.0
1951,70.0
1952,62.0
1952,200.0
1952,36.0
1952,77.0
1952,85.0
1952,18.0
1952,90.0
1952,80.0
1953,97.0
1953,200.0
1953,90.0
1953,36.0
1953,60.0
1953,90.0
1953,18.0
1953,65.0
1953,80.0
1954,87.0
1954,200.0
1954,36.0
1954,61.0
1954,90.0
1954,22.0
1954,66.0
1954,80.0
1954,80.0
1955,96.0
1955,100.0
1955,200.0
1955,36.0
1955,100.0
1955,90.0
1955,50.0
1956,65.0
1956,98.0
1956,100.0
1956,200.0
1956,36.0
1956,61.0
1956,101.0
1956,22.0
1956,50.0
1957,100.0
1957,105.0
1957,200.0
1957,77.0
1957,90.0
1957,65.0
1957,22.0
1957,18.0
1957,87.0
1958,80.0
1958,100.0
1958,75.0
1958,200.0
1958,24.0
1958,50.0
1958,75.0
1958,15.0
1958,50.0
1958,70.0
1958,53.0
1959,100.0
1959,200.0
1959,75.0
1959,50.0
1959,75.0
1959,60.0
1959,62.0
1959,72.0
1959,42.0
1960,80.0
1960,100.0
1960,200.0
1960,75.0
1960,36.0
1960,50.0
1960,77.0
1960,55.0
1960,50.0
1960,75.0
1961,100.0
1961,75.0
1961,30.0
1961,52.0
1961,75.0
1961,15.0
1961,43.0
1961,100.0
1962,80.0
1962,100.0
1962,32.0
1962,54.0
1962,75.0
1962,15.0
1962,86.0
1962,100.0
1962,82.0
1963,100.0
1963,32.0
1963,80.0
1963,53.0
1963,82.0
1963,15.0
1963,86.0
1963,110.0
1963,65.0
1963,85.0
1964,100.0
1964,80.0
1964,32.0
1964,57.0
1964,80.0
1964,15.0
1964,105.0
1964,78.0
1964,110.0
1964,65.0
1965,85.0
1965,100.0
1965,32.0
1965,40.0
1965,80.0
1965,80.0
1965,15.0
1965,76.0
1965,110.0
1965,65.0
1966,100.0
1966,28.0
1966,48.0
1966,80.0
1966,90.0
1966,15.0
1966,68.0
1966,108.0
1966,65.0
1967,80.0
1967,100.0
1967,90.0
1967,28.0
1967,80.0
1967,80.0
1967,15.0
1967,90.0
1967,68.0
1967,108.0
1967,65.0
1968,80.0
1968,90.0
1968,80.0
1968,28.0
1968,90.0
1968,60.0
1968,80.0
1968,14.0
1968,68.0
1968,90.0
1968,108.0
1968,65.0
1969,80.0
1969,90.0
1969,80.0
1969,90.0
1969,38.0
1969,84.0
1969,14.0
1969,68.0
1969,90.0
1969,108.0
1969,65.0
1970,80.0
1970,90.0
1970,80.0
1970,28.0
1970,80.0
1970,38.0
1970,80.0
1970,50.0
1970,60.0
1970,68.0
1970,90.0
1970,108.0
1970,65.0
1971,79.0
